Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,1,986208138,6.076663494110107,0.07967998844316379,0.7443735227318232,0.1541160589950986,0.9782879741007541,0.8454260870145707,0.7565254383197257,0.2415958794600829,0.024568035274439688,0.49036152358520313,18.0,6.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,2,1033931326,6.662809133529663,0.07564297331708153,0.6595285353918046,0.15712175433065123,0.9777469554795911,0.8463844346078412,0.8345623034710313,0.23162649848737302,0.029985867478844165,0.5729499375048142,20.0,4.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,3,695396926,5.663721323013306,0.07781233773603197,0.6624084192427867,0.13040499875805292,0.9637987536233539,0.8757278630803814,0.6350482277869074,0.18014498013180671,0.01838728631239617,0.43651596134270465,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,4,1961342982,6.2218945026397705,0.08021815542707271,0.7005945398994602,0.14237579288114857,0.9722578839346545,0.8630024459127903,0.7156663350961158,0.21482755344677287,0.022281641208087854,0.4785571404412549,17.0,7.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,5,2021041766,5.349059581756592,0.07040250906519947,0.6026977726388018,0.14945005747949033,0.9618163263300776,0.860995706197873,0.4765524595124099,0.12213799000202552,0.01535161352365098,0.3390628559867334,11.0,13.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,6,1150402562,6.02152419090271,0.07332618728888259,0.6807005775185522,0.15995283216218636,0.9631520845723435,0.8401837388078974,0.6738876888256874,0.19357237278595277,0.022057968037778028,0.45825734800195667,16.0,8.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,7,1992340928,6.045368671417236,0.06055055621412882,0.6003989873728462,0.12774527749162978,0.9713508342621984,0.8810937488061563,0.6750319479868633,0.17319575724171832,0.020323090646679406,0.4815131000984655,16.0,8.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,8,596865782,5.866922616958618,0.07308331530275454,0.6310705985394001,0.1278915234374407,0.9606579563093745,0.8706892220790833,0.6350129193813743,0.17225041138740782,0.01688916541918964,0.44587334257477684,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,9,1412933653,6.093703508377075,0.07323525658061245,0.7479702539214736,0.13724121875452133,0.9681834436724551,0.861434710337057,0.7549086371543196,0.24891531999579253,0.022265370094639997,0.48372794706388733,18.0,6.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,10,465654247,6.261552810668945,0.0747988278415158,0.738414609067356,0.1503772724863659,0.9777828886571339,0.852579313801241,0.7155608684945429,0.22950474771065274,0.022315113664401823,0.4637410071194883,17.0,7.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,11,1136163917,5.412086009979248,0.075506953310353,0.7825164763306708,0.15981260866587,0.9635749084823219,0.840166919265442,0.5564100625402072,0.1819221062435506,0.017287583510710313,0.3572003727859463,13.0,11.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,12,600597301,5.864770174026489,0.05604686561825406,0.6407705457436178,0.09524428788000135,0.9764843417158151,0.9030108674561832,0.6362692762614998,0.17953321495030297,0.012568481349978114,0.4441675799612186,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,13,283485519,5.809699773788452,0.07886846746308884,0.67248180186928,0.14083839353307506,0.9562764141914929,0.862270692579743,0.5939567989890062,0.17071177437035154,0.018344255446756753,0.4049007691718979,14.0,10.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,14,2059112513,5.865522861480713,0.059085061738857816,0.6925123881759576,0.13329573629897035,0.9722292900085111,0.8727405903051161,0.6367284325759033,0.18971330694224212,0.01922111706898415,0.427794008564677,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,15,894642810,5.312815189361572,0.057321240525402974,0.5541739439124082,0.10648183019141726,0.9609091108363002,0.8964931377628137,0.47649902043921877,0.11554342965504208,0.010961140707534938,0.34999445007664176,11.0,13.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,16,79458643,5.538558483123779,0.08077430514738204,0.7131379138079441,0.10866791255774849,0.9645321755924077,0.8921317944534006,0.5562510109134589,0.16826845706619115,0.012395429178659942,0.3755871246686078,13.0,11.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,17,1460543985,6.442745923995972,0.06938021785184557,0.8736860541750459,0.17707112485745657,0.9779516102328385,0.8228920837225513,0.835218853799685,0.3142713544042892,0.03200245531376532,0.4889450440816303,20.0,4.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,18,1160310586,6.148687362670898,0.0712588263948374,0.6167328329772821,0.14307533425404045,0.9756539912324476,0.8558201996987417,0.755535334082447,0.20242857712692422,0.02186523472164025,0.5312415222338824,18.0,6.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,19,457495139,5.797633647918701,0.08155289380447732,0.8363105327302454,0.20077732741832416,0.9663990248365905,0.8012057347587817,0.6749244794708962,0.23543518139206657,0.028187535911507154,0.41130176216732245,16.0,8.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,20,567169085,5.509398937225342,0.07982946184596575,0.6511241091961264,0.1254715296630434,0.9663565625418161,0.8785642340910301,0.5571851411552314,0.1566533217436024,0.014238361322563066,0.3862934580890661,13.0,11.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,21,1100118300,5.796741485595703,0.05882115666491463,0.5830765993400607,0.1613980497413744,0.9640596484855299,0.8413061400382993,0.6339768165874734,0.15461354705988387,0.0214554686765841,0.4579078008510054,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,22,1132769411,5.703920125961304,0.0631239868928034,0.7470070783839207,0.20172286653983512,0.9663146482459062,0.7984446631902915,0.6356935715059722,0.1973896277656821,0.025288013751219907,0.4130159299890701,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,23,769167530,5.742422819137573,0.08312143929804883,0.7092201433023633,0.1960618521646692,0.9558565039235977,0.8089525282826852,0.634218404861938,0.19274233386501166,0.024982207547628033,0.4164938634492984,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,24,155432522,6.54488205909729,0.06754311430631552,0.798601748705392,0.20157336517135993,0.969272358573393,0.8074371768767256,0.7527510135607862,0.25719198754835076,0.032449024579070306,0.4631100014333651,18.0,6.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,25,896640668,5.8430633544921875,0.07954300712849026,0.606917482406589,0.12492268726715478,0.9673539019431139,0.8717603511347264,0.59568940278956,0.1533149487671491,0.016466288205883174,0.4259081658165277,14.0,10.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,26,1806013318,5.963839292526245,0.0638892158074129,0.7817130079859237,0.15268625813421022,0.9708164333237862,0.848560634575611,0.675987571765974,0.22206346021323323,0.022904403323644306,0.4310197082290966,16.0,8.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,27,1975687421,5.414227724075317,0.0567335900599982,0.6778100382384424,0.2043451643565832,0.9531708747243774,0.7911941033879644,0.5937106351618998,0.16785801933561256,0.02322753349557306,0.4026250823307142,14.0,10.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,28,1715568013,6.795693874359131,0.06780830615946852,0.7999607376140454,0.15477381387029265,0.9768176315503259,0.8468522722585685,0.8350366821202978,0.29089044124350644,0.028096915646917936,0.5160493252298735,20.0,4.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,29,448006699,5.904063940048218,0.07935575381778859,0.611745803487735,0.13710707920252704,0.9605367724049313,0.8693881897175217,0.6356546875906408,0.16389602446691565,0.02025938859527128,0.45149927452845373,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,30,1577629530,6.370808124542236,0.05834700108208656,0.703431504705533,0.14948924449436116,0.9714381778709447,0.8503613610371771,0.7149322345883309,0.21132073994567432,0.022625502794862185,0.4809859918477942,17.0,7.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,31,762041545,5.957294225692749,0.06348935902648035,0.5733100036709414,0.21977196386819145,0.9704151728628376,0.8026790442945027,0.6757363956415982,0.1612918843857257,0.03301338766933276,0.4814311235865396,16.0,8.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,32,1191135949,6.242617607116699,0.07601764532691463,0.7317926443390614,0.17416483593382978,0.9675388861847004,0.8391572410656326,0.6752281724200998,0.2112758308462495,0.025718399235036316,0.43823394233881396,16.0,8.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,33,1681244314,6.1320672035217285,0.06655202923597649,0.6427825670673941,0.12196015091173457,0.9716841529390353,0.8800035515401744,0.6753767536827375,0.18916290901384936,0.017458785715694643,0.46875505895319336,16.0,8.0
