Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,55,28344971,3.735812187194824,0.06855380698615927,0.5556073077592909,0.0,0.0,0.5556073077592909,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,56,1266539837,3.6875312328338623,0.0716998218273125,0.4734850831602032,0.0,0.0,0.4734850831602032,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,57,96478470,3.688938617706299,0.06780389033149502,0.5552185889198311,0.0,0.0,0.5552185889198311,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,58,953383961,3.937533140182495,0.059571552456338495,0.595676476081001,0.0,0.0,0.595676476081001,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,59,183372402,3.782689332962036,0.06152898372823448,0.5166480776124692,0.0,0.0,0.5166480776124692,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,60,2047789755,3.8125321865081787,0.07444306846507932,0.5946294185288175,0.0,0.0,0.5946294185288175,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,61,1057710077,3.6264429092407227,0.08138625055917274,0.317424489642094,0.0,0.0,0.317424489642094,7.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,62,1213818894,4.000033378601074,0.062277217593844254,0.5546284218108845,0.0,0.0,0.5546284218108845,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,63,2087364271,3.704563856124878,0.08048641879252136,0.31772424341018385,0.0,0.0,0.31772424341018385,7.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,64,2090181924,3.8920652866363525,0.06859286166803764,0.5161863958179209,0.0,0.0,0.5161863958179209,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,65,1745141102,3.859407424926758,0.05899981712227584,0.4756210201591673,0.0,0.0,0.4756210201591673,11.0,13.0
