Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,155,192331256,2.455625295639038,0.06575758736647253,0.7951807180230597,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,156,1228175278,2.9687812328338623,0.061610546994323306,0.6743314460489863,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,157,28791503,2.221247434616089,0.052465478500985346,0.43581713981188536,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,158,1457430367,2.703152656555176,0.07755884137537288,0.6727769744704426,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,159,2132410421,2.283748149871826,0.06559725876199828,0.676089077796303,16.0,8.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,0,1086712531,7.562579393386841,0.07411251857734082,0.9983494686042549,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,1,1984980876,7.595160722732544,0.07514157196281611,0.9996179633925902,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,2,1953654075,6.906321287155151,0.06722771183132545,0.7950801023524982,19.0,5.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,3,261253038,5.829517602920532,0.07550082940662399,0.5159406827489549,12.0,12.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,4,540090028,6.562568426132202,0.0776726988619962,0.7546188654841143,18.0,6.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,5,869095512,7.017029523849487,0.061722751327014574,0.8354110230810248,20.0,4.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,6,2028400409,7.765705108642578,0.0710737684998228,0.9964881543032061,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,7,769024199,6.56390118598938,0.07066503860881988,0.6743162731243847,16.0,8.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,8,745834900,6.59381890296936,0.06794066401810504,0.75282681799182,18.0,6.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,9,1062619740,6.563900470733643,0.06374454383894673,0.7551891452976762,18.0,6.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,10,1859915496,7.296950340270996,0.06959592117941596,0.9143224658615502,22.0,2.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,11,1375364205,7.595160245895386,0.05940832941127042,0.9961489858056545,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,12,1663365764,6.390691518783569,0.06448176323478609,0.5942157233532164,14.0,10.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,13,1069973281,7.095155715942383,0.06634201912626243,0.8341570443236477,20.0,4.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,14,2032764502,7.125072956085205,0.06721387252048068,0.9984895498487043,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,15,1738183207,7.220157623291016,0.056060490658361634,0.9996596716390317,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,16,1708487345,7.375075817108154,0.07014038383819854,0.7941082916808183,19.0,5.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,17,2050502706,7.329533100128174,0.05914700563266268,0.7949622143377308,19.0,5.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,18,33973174,5.718809127807617,0.056103014986262224,0.5159823226602955,12.0,12.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,19,434685913,7.14203143119812,0.057538514753743115,0.9994663680734788,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,20,1812608689,6.703195571899414,0.05804477525824104,0.8339197498436001,20.0,4.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,21,2084052603,6.688901901245117,0.06386473522747035,0.8363658303332788,20.0,4.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,22,599999703,6.484443426132202,0.07772205578734616,0.7570647833097316,18.0,6.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,23,1398208754,7.485786437988281,0.06425217759024139,0.8741695668683931,21.0,3.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,24,98400669,7.437578439712524,0.06801952878049079,0.9984311159448196,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,25,1455834841,7.65766167640686,0.07014529427596279,0.9122939954267395,22.0,2.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,26,1785736058,6.171939373016357,0.07631543962507907,0.5965072351952023,14.0,10.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,27,1170374427,7.095155954360962,0.06574182672544271,0.635679561546548,15.0,9.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,28,1493653684,7.578204154968262,0.0666214081469652,0.9973753030201239,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,29,1466704085,7.282658815383911,0.06403730705572762,0.9155433104420416,22.0,2.0
