Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,46,28344971,4.860267639160156,0.19462781577378643,0.6585312080725948,0.0,0.0,0.6585312080725948,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,47,96478470,5.04830527305603,0.1734534566120081,0.6706729749917014,0.0,0.0,0.6706729749917014,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,48,953383961,5.047767877578735,0.12993517217292644,0.7343263109904423,0.0,0.0,0.7343263109904423,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,49,183372402,4.954553842544556,0.24891119824541938,0.5793245910237342,0.0,0.0,0.5793245910237342,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,50,2047789755,5.0165183544158936,0.13288192800884116,0.7560619310990132,0.0,0.0,0.7560619310990132,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,51,1213818894,5.1420533657073975,0.12015237939842391,0.6997411162629409,0.0,0.0,0.6997411162629409,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,52,2090181924,5.125894546508789,0.18161623956108966,0.6227256680922549,0.0,0.0,0.6227256680922549,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,53,1745141102,5.017051696777344,0.22972392753821502,0.5562277564250974,0.0,0.0,0.5562277564250974,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,54,135194935,5.063393592834473,0.16503804413017423,0.6244415816773734,0.0,0.0,0.6244415816773734,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,55,1803038838,4.9389283657073975,0.21844916998486275,0.6320854137197043,0.0,0.0,0.6320854137197043,29.0,0.0
