Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,32,284694112,4.108172178268433,0.15990031077343717,0.7221845731943012,0.23719463347465222,0.6805559636578673,0.6368459343428198,0.7145294769929386,0.0,0.0,0.7145294769929386,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,33,1040246634,3.767735481262207,0.1642873344298323,0.7332571718103871,0.2047938969519916,0.6990818912558057,0.7115012740044871,0.7330864723375154,0.0,0.0,0.7330864723375154,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,34,307434695,4.1102049350738525,0.1158669605563972,0.7099601010941194,0.26582603535408794,0.7220764583678023,0.6339151267672629,0.7538324013506594,0.0,0.0,0.7538324013506594,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,35,88806557,3.963674306869507,0.07991174531104249,0.7567711498042594,0.13137689255298293,0.7894594490867317,0.745854545749762,0.8197496091484213,0.0,0.0,0.8197496091484213,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,36,1485092390,3.969791889190674,0.12608120806923856,0.6117318655742736,0.15576931174133996,0.7351507398260927,0.741146426522808,0.76344705664149,0.0,0.0,0.76344705664149,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,37,925074421,4.025403738021851,0.121792734070897,0.7723276808815693,0.17255127663194558,0.7166476601384553,0.6165350931853493,0.7495601109842045,0.0,0.0,0.7495601109842045,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,38,440818875,3.859825849533081,0.10086682890170201,0.8071282322181743,0.20393958781932559,0.7752845512882327,0.628874841436391,0.8095843279405385,0.0,0.0,0.8095843279405385,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,39,964264879,3.9206881523132324,0.09457809758598879,0.5911692545499336,0.13618926184832003,0.7806543541052184,0.7774062960566812,0.8136516956867067,0.0,0.0,0.8136516956867067,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,40,2071076345,3.703873872756958,0.1484015043887598,0.500989028940759,0.08763504214053626,0.7142871532587006,0.8335065354935551,0.7454347373309973,0.0,0.0,0.7454347373309973,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,41,1228410786,3.957676649093628,0.24192306502490143,0.659305844818496,0.2601171540998636,0.5881704625751366,0.5914626287509311,0.6170937118182226,0.0,0.0,0.6170937118182226,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,42,1274968857,3.8508286476135254,0.12802138532681803,0.8561595319128146,0.1335044220080315,0.706117266855207,0.6221430973087615,0.7348248906737931,0.0,0.0,0.7348248906737931,24.0,0.0
