ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
65,391356322,7.767023086547852,0.08359407677612614,0.8652826338638363,24.0,0.0
66,1592087331,8.296968221664429,0.0645592893092247,0.9967668900354246,24.0,0.0
67,1527510874,8.332744121551514,0.12146867076774653,0.8216140881233724,24.0,0.0
68,441846862,8.171966791152954,0.06089763466153016,0.9845584432973125,24.0,0.0
69,1181023661,7.76691746711731,0.07784560536791463,0.9435268712006009,24.0,0.0
70,392437986,7.8750879764556885,0.06229807595289136,0.9730222788875459,24.0,0.0
71,442463148,8.18312931060791,0.05661532960707366,0.9990167602076057,24.0,0.0
72,1235262303,7.718836784362793,0.06354912222106515,0.9867252180475942,24.0,0.0
73,2089075418,8.105822563171387,0.06172484851166339,0.9909885805068142,24.0,0.0
74,1181940678,8.173276901245117,0.06936170743915601,0.9976026670857556,24.0,0.0
