ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
131,1441004460,3.965022563934326,0.07364387822214075,0.7403531243628649,0.22704865417836675,0.9493843838754707,0.7409035573123893,0.39542777974321375,0.0,0.0,0.39542777974321375,9.0,15.0
132,2109479016,3.9908347129821777,0.07068914221027738,0.6939724840882765,0.2751101475833985,0.964350132556376,0.7076070841915866,0.5943438897072801,0.0,0.0,0.5943438897072801,14.0,10.0
133,3051297,4.042216062545776,0.0659923845310044,0.6134690094260297,0.14113060218186704,0.9532860021628067,0.8375204379054968,0.514918964343126,0.0,0.0,0.514918964343126,12.0,12.0
134,1551126302,4.119022607803345,0.0787246975664815,0.7757719083800239,0.21957176922878566,0.9612261240550073,0.763184029871882,0.5930146026288456,0.0,0.0,0.5930146026288456,14.0,10.0
135,1469461777,4.015023946762085,0.07164327619483384,0.7652285102000608,0.21011610554587276,0.9411118388895103,0.7662467342675852,0.4346275996428362,0.0,0.0,0.4346275996428362,10.0,14.0
136,1173132109,3.7352840900421143,0.07532004536979069,0.7191080740051004,0.261993973076051,0.9510581742495248,0.7162136681875253,0.39633299807174827,0.0,0.0,0.39633299807174827,9.0,15.0
137,632165167,3.871763229370117,0.07139971643879793,0.8437823420014418,0.12661255860955026,0.9107325411486792,0.802437946389271,0.31547782459248297,0.0,0.0,0.31547782459248297,7.0,17.0
138,318859527,4.002023458480835,0.06636635631170594,0.7309231646007949,0.16480941259849335,0.9697884194211656,0.8270011444484208,0.5960268687247016,0.0,0.0,0.5960268687247016,14.0,10.0
139,2065638734,3.9290244579315186,0.05341832903207356,0.7735793201748824,0.21765579344151803,0.9542448946780553,0.7738965965923472,0.555961765043715,0.0,0.0,0.555961765043715,13.0,11.0
140,1251984722,3.814051389694214,0.0744234209809447,0.7717620095195614,0.2528356359626789,0.9593298428418641,0.7160305592051358,0.47722560017616145,0.0,0.0,0.47722560017616145,11.0,13.0
141,90099893,3.916923999786377,0.06527158584021327,0.7213122776437149,0.11557455284505481,0.9532174810114274,0.8542360578121618,0.4761547005929536,0.0,0.0,0.4761547005929536,11.0,13.0
142,404912240,4.052023410797119,0.052176175852687176,0.6625248690238174,0.11365827235911877,0.966259057680238,0.8624562448735749,0.5960844161686729,0.0,0.0,0.5960844161686729,14.0,10.0
143,607917439,4.107025146484375,0.0681439004523598,0.8147270798930971,0.15832582587999033,0.9501841704429133,0.814507133102019,0.5923496504746317,0.0,0.0,0.5923496504746317,14.0,10.0
144,1743669592,4.040295600891113,0.08241722345633516,0.7822651217217519,0.2192727546430981,0.9669130233756336,0.7775236487397403,0.5557694056677355,0.0,0.0,0.5557694056677355,13.0,11.0
145,251902477,4.17702317237854,0.05883339475420769,0.792295493649322,0.15255269614427117,0.9371640163280849,0.8163606971992521,0.4744443842967324,0.0,0.0,0.4744443842967324,11.0,13.0
