Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,6,1192485129,4.852625131607056,0.09013513234701762,0.733631882056517,0.14291676298207748,0.8364632174365284,0.8621425418206542,0.33690731255318096,0.01627195664180661,0.5089632726256668,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,7,825563396,5.712011814117432,0.32475410568547636,0.2788658787823102,0.06704799599514986,0.48623629541187047,0.5080574889783764,0.11969954972514932,0.012901355764583598,0.3754565834886436,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,8,1857153899,4.821375370025635,0.1829050349520875,0.4282864613638698,0.0799175332914528,0.6076347023002713,0.6330158297295249,0.19089942917112776,0.018989568217418033,0.42312683234097914,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,9,323249829,4.977627515792847,0.10719111819810538,0.597025687244841,0.11113120919410391,0.8110183508996822,0.8415813814594195,0.2625705846100084,0.022636793327722227,0.5563740035216888,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,10,1765374533,4.821375131607056,0.25479150950987517,0.30980997269765276,0.0725785376659501,0.5018904045940966,0.5308603675609137,0.13476926734663253,0.015015450707507158,0.38107564950677403,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,11,382228820,5.649510622024536,0.21377880412260095,0.3369263681588124,0.0845888977295895,0.5489836641853542,0.576613684894251,0.1445945480024056,0.017843211288386434,0.41417592560345895,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,12,55720852,5.305756330490112,0.2583064677933253,0.37263298089342023,0.08327772628913661,0.5530108549642606,0.5775241166855529,0.1635997381137,0.013010186661539561,0.40091419191031324,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,13,1895837387,4.461994886398315,0.3342732399772014,0.3216136554597753,0.05148997596651029,0.5065505900937557,0.5316595074228707,0.14374431484112232,0.011657000742899843,0.37625819183884895,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,14,161642000,5.868262052536011,0.2560504500362767,0.4585824643486796,0.07207426757171607,0.5219866238932084,0.5465992364426154,0.2092027114903714,0.015597954115517721,0.32179857083672614,34.0,0.0
"(p=None, None), q=(None, None), c=0.500)",,,,,0.5,15,738146507,4.930750608444214,0.12361060496593616,0.5588678608495001,0.1504112148502612,0.7085902659884951,0.739329743779846,0.24407329078945003,0.03339076170914192,0.4618656912812539,34.0,0.0
