Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,14,1732742425,5.561638116836548,0.06720746002985035,0.6856322950323106,0.15708365516574505,0.9599535583990118,0.5954026545347024,0.16958514465483795,0.02253258830536752,0.40328492157449713,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,15,1178193646,5.447888374328613,0.07347401080654793,0.7580694265017988,0.17308542396376236,0.9691287234451679,0.5563921806552945,0.17105931637630306,0.0226872698249086,0.36264559445408295,13.0,11.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,0,1724732347,5.562787055969238,0.07910488911203842,0.6577284157525395,0.16750270604270892,0.9677097105889004,0.5957073966845725,0.16390207982117252,0.024385916716473437,0.4074194001469265,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,1,1805733537,5.500401258468628,0.05871583933738117,0.7028652615264004,0.13583689803247792,0.9544095174684547,0.5943466535698331,0.17766369976905252,0.019817767802258336,0.3968651859985222,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,2,1668084895,5.890604257583618,0.07269592151394835,0.7461177132937528,0.16796377889543523,0.9772855929256246,0.7564664953126662,0.2397006247436317,0.03300429384721974,0.4837615767218146,18.0,6.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,3,1126852960,5.515604019165039,0.07366139022686874,0.6588207058502067,0.20917344870138593,0.9673287267648625,0.5965798558308646,0.15862774655957465,0.028236001375472962,0.409716107895817,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,4,1054128280,6.046884298324585,0.07844474941651071,0.7845569319024537,0.18729249088669517,0.9846816144368796,0.8751898704869268,0.2871715763857261,0.040720744914021445,0.5472975491871792,21.0,3.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,5,368485754,5.953104734420776,0.06832962380029205,0.7241196396526527,0.18361753790812,0.9795217313201392,0.7957865299760453,0.23817650364238832,0.035807480417124095,0.5218025459165324,19.0,5.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,6,157222347,5.578103065490723,0.06741742121113972,0.6869667812715733,0.12093899370330291,0.9553020899642405,0.5941576036420531,0.1763773149376777,0.018196928735330086,0.3995833599690453,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,7,555146585,5.027952432632446,0.07389383940918552,0.5679512299425895,0.20541934725373903,0.9458724529715709,0.43586214234229653,0.10274335019467289,0.01910105650945072,0.3140177356381729,10.0,14.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,8,1938679292,5.45311427116394,0.07953485748702986,0.8039810077481405,0.14404628263589364,0.966563981485612,0.6359539315682967,0.21718949750301164,0.022625532504395727,0.39613890156088943,15.0,9.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,9,1003869780,5.609354734420776,0.08070673106236169,0.74953875184217,0.15760798930134973,0.9661239293391656,0.5953261259273456,0.18810145385414045,0.0231972433078662,0.38402742876533885,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,10,942922926,5.64060378074646,0.05722989374638377,0.7639982082709867,0.13327359545143852,0.9608920203195706,0.6745130330813862,0.22306730795448096,0.022477878631006813,0.4289678464958985,16.0,8.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,11,79574022,5.529554128646851,0.0624604348863935,0.7226138503788888,0.11888449698334241,0.9627412180241657,0.5953697074354833,0.1855285551441276,0.017255503766046388,0.3925856485253093,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,12,250947486,5.745219707489014,0.07518668690408037,0.7060786460764951,0.2035656572876747,0.9701277897609895,0.6760629501835137,0.19712206617904215,0.03375612592262844,0.4451847580818432,16.0,8.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,13,2129971703,5.8017144203186035,0.06899999122302031,0.6684032916337296,0.11655775556586417,0.973925978344664,0.7544965428531313,0.22059601574600038,0.02282838434895074,0.5110721427581801,18.0,6.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,14,1732742425,5.389050245285034,0.06489968847477531,0.7000711371973759,0.1678512387178969,0.9699506067248977,0.5568901200686117,0.159921498016347,0.021689889099066148,0.37527873295319863,13.0,11.0
"(p=(0.980, 1.000), q=(0.980, 1.000), c=0.500)",0.98,0.98,1.0,1.0,0.5,15,1178193646,5.46217679977417,0.07203011424785405,0.764331344945732,0.1789177406240216,0.9705633153668015,0.556611038839277,0.17316657106417327,0.02320710491397988,0.36023736286112373,13.0,11.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,0,1724732347,5.764967918395996,0.0830351816225016,0.6397292138886419,0.1543804612989965,0.9684798032407497,0.5957940421592253,0.16370717771720936,0.01726390153202417,0.4148229629099918,14.0,10.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,1,1805733537,5.69384241104126,0.06121128151282042,0.6981098039400215,0.1272621022166492,0.9603211516884745,0.5950553895464941,0.1780848533738558,0.014152842925816644,0.4028176932468219,14.0,10.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,2,1668084895,6.046374320983887,0.07719531480524978,0.7189134696117649,0.1522290908126292,0.9613695772732871,0.7143736579559311,0.22497490397118472,0.021931553845002116,0.46746720013974447,17.0,7.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,3,1126852960,5.8295934200286865,0.07777694060736341,0.6389820252218792,0.19286836305252933,0.9628907323808987,0.635605706531642,0.17075756011632784,0.021904645401109642,0.44294350101420454,15.0,9.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,4,1054128280,6.46839714050293,0.08170184916573371,0.7734133786137346,0.17632398342940153,0.9846386303346822,0.8751793650343004,0.2887833617657098,0.028962226655598836,0.557433776612992,21.0,3.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,5,368485754,6.172547101974487,0.0721516575812334,0.7072732225573805,0.1690238065811017,0.981635118276932,0.7961865768910741,0.23866263592762352,0.025053071737577523,0.5324708692258732,19.0,5.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,6,157222347,5.629209518432617,0.07067480441364092,0.6797371574699307,0.11336056717990822,0.9607374915957727,0.5948482295672907,0.17556250398378864,0.012979772621108245,0.40630595296239364,14.0,10.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,7,555146585,5.205002307891846,0.0776049867057535,0.5459311331540256,0.18817421903980114,0.9286402005083748,0.4738798399720241,0.11341696756056105,0.015396155680966105,0.34506671673049705,11.0,13.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,8,1938679292,5.6884260177612305,0.08295014574822242,0.8025674155106104,0.13347597251239895,0.9753722869493943,0.636989715607628,0.21730826948554452,0.01602083058514683,0.4036606155369366,15.0,9.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,9,1003869780,5.845851898193359,0.08388377048269255,0.7395114735194066,0.14640442237584445,0.964726425304162,0.6346148020584428,0.20229111650292317,0.017851840495289456,0.4144718450602302,15.0,9.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,10,942922926,5.985607624053955,0.059345025062054864,0.7622159089697419,0.12388176949551095,0.9725532666195567,0.6762041003451874,0.222724076042002,0.015815641817771443,0.4376643824854139,16.0,8.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,11,79574022,5.562953472137451,0.06567160081605768,0.7090582688310829,0.1124830299399285,0.9653045494156399,0.5956337429877611,0.18415598865355556,0.012475523291675127,0.39900223104253024,14.0,10.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,12,250947486,6.065495491027832,0.07898580413413743,0.6934116184373194,0.18899930808784124,0.9759265505707195,0.6768400989109448,0.19863349685722528,0.023881803344772363,0.45432479870894676,16.0,8.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,13,2129971703,6.138224840164185,0.07266806369324659,0.6532874041026467,0.10755696815713918,0.9720150916663662,0.7932176667183142,0.23003412908423615,0.017018272633427877,0.54616526500065,19.0,5.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,14,1732742425,5.608030080795288,0.06851694079380442,0.6830354931732358,0.15194116308839556,0.9645973890401089,0.5959736280326026,0.1731862212559089,0.016433759156198335,0.40635364762049536,14.0,10.0
"(p=(0.980, 0.750), q=(0.980, 0.950), c=0.500)",0.98,0.98,0.75,0.95,0.5,15,1178193646,5.694777727127075,0.0752817620807657,0.7544524456447722,0.1692347709847094,0.9721122631020518,0.5567284572482699,0.17395350797287518,0.01674882488596652,0.3660261243894282,13.0,11.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,0,1724732347,5.758951663970947,0.08085292383304936,0.6521384472693715,0.16173343012042798,0.9690671005353463,0.5959342079486969,0.16716785138413964,0.01776007437989346,0.4110062821846638,14.0,10.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,1,1805733537,5.605952024459839,0.05970708124228079,0.7049359751048793,0.1314574299199549,0.9624385046301807,0.5953821191607132,0.18069369250223588,0.01439969012983547,0.4002887365286418,14.0,10.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,2,1668084895,6.125871419906616,0.0747118109401235,0.7355825508004024,0.1602655060699388,0.973137335005771,0.7557462580109702,0.24286720071968687,0.023950649016072797,0.4889284082752105,18.0,6.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,3,1126852960,5.848823070526123,0.07512685523864304,0.6540850201457314,0.20561474377274722,0.9725037554806856,0.5970871994402323,0.16211823450882842,0.02093868042345602,0.41403028450794777,14.0,10.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,4,1054128280,6.293274164199829,0.08021383024659427,0.7802949480671735,0.18373933061599057,0.9852270511577192,0.8360111531835418,0.2783797483598265,0.028409447274171263,0.5292219575495442,20.0,4.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,5,368485754,6.830276012420654,0.07038829899070126,0.7177055399287565,0.17558874940502714,0.9807334332544166,0.8354066839453919,0.2564522524055775,0.02737451416825145,0.5515799173715629,20.0,4.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,6,157222347,5.703823089599609,0.06905656101533252,0.6811767486149293,0.11537601154729242,0.954271940248587,0.5939849903821396,0.17804144116320358,0.013162771637064814,0.4027807775818713,14.0,10.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,7,555146585,4.985953092575073,0.0742858078109076,0.5705466447184786,0.20240443993239748,0.9593542341309781,0.397107409413975,0.09571770741726715,0.012286356224605634,0.2891033457721022,9.0,15.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,8,1938679292,5.704704761505127,0.08149955417259772,0.8039202784740445,0.13955078864633205,0.9712395184109432,0.6365196419094148,0.2199806780961688,0.016513180527539025,0.400025783285707,15.0,9.0
"(p=(0.980, 0.750), q=(0.980, 0.975), c=0.500)",0.98,0.98,0.75,0.975,0.5,9,1003869780,5.794800281524658,0.08235679610733743,0.7452060318128921,0.15218016492343445,0.9628308458246855,0.6343419938030581,0.20522773657232546,0.018388437058760376,0.41072582017197234,15.0,9.0
