Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,30,1960497424,4.692804574966431,0.07910269459709304,0.667048991363384,0.23188819687447468,0.9589221049656601,0.7486981431791918,0.3677660413474616,0.0,0.0,0.3677660413474616,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,31,609630810,4.7433021068573,0.04687152024924567,0.5961872835468639,0.12683481032018248,0.9428325971670994,0.848670310839467,0.3670977586611228,0.0,0.0,0.3670977586611228,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,32,284694112,4.733792066574097,0.08104894469020076,0.7668316478869336,0.2592673095458149,0.9550215616127229,0.7288075915635744,0.34007751499614786,0.0,0.0,0.34007751499614786,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,33,1040246634,4.7063751220703125,0.08083346075712694,0.8240919236937648,0.20432222917945667,0.9242135464651736,0.7750200640962889,0.3957863969676908,0.0,0.0,0.3957863969676908,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,34,307434695,4.7417893409729,0.08010730443476116,0.7589489400675024,0.31705390403704775,0.9531709982344779,0.6720638317373507,0.3393546943097811,0.0,0.0,0.3393546943097811,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,35,88806557,4.642394304275513,0.04827971301044175,0.8010337549397252,0.15883739171393782,0.9552343255171004,0.8166581016197659,0.4257665239140212,0.0,0.0,0.4257665239140212,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,36,1485092390,4.7897748947143555,0.0722754759697499,0.6283596350961148,0.16720354735899123,0.9532556954355134,0.8173961396017314,0.36818571154383195,0.0,0.0,0.36818571154383195,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,37,925074421,4.774353265762329,0.07315182553058126,0.7377795185836891,0.1965742494942591,0.9401277131600491,0.7611715053312071,0.3674401536916679,0.0,0.0,0.3674401536916679,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,38,440818875,4.675810098648071,0.07072072137810993,0.7820084809032256,0.23283295968697004,0.9507959706063294,0.733106549824967,0.39706469013386714,0.0,0.0,0.39706469013386714,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,39,964264879,4.830336093902588,0.0707771103658729,0.6086609369096527,0.14840694286546371,0.939698805331121,0.8335871376303969,0.3949416660853258,0.0,0.0,0.3949416660853258,13.0,21.0
