Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,166,886790368,5.0209996700286865,0.07041368857849394,0.6241758189940804,0.21552868434582617,0.9136850082929113,0.7879704309536173,0.4357615705886911,0.17290781094988147,0.02457782692145616,0.2382759327173534,10.0,14.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,167,1641334557,5.494000196456909,0.07635216507397463,0.7800259283143405,0.1344162781685513,0.9471412903870373,0.868360462424764,0.5955270807521258,0.3078267267255412,0.026559930329780476,0.26114042369680407,14.0,10.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,168,1558902740,6.039999008178711,0.0722961413375743,0.6615918838446568,0.1721749779469491,0.9671402370081073,0.8284469996804524,0.6755015700294998,0.2835561728151449,0.03653266907374108,0.35541272814061386,16.0,8.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,169,1758863739,4.881999731063843,0.07588378070270227,0.7666358300751608,0.14957712627815234,0.9396079192658524,0.8541281251829269,0.3570884562369871,0.15940259209651925,0.016452374277499005,0.18123348986296878,8.0,16.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,170,161642000,5.260999917984009,0.06679729641697443,0.8500686781440924,0.13544137506106782,0.9538283039370968,0.8672859388040888,0.5560323414319474,0.307766782289385,0.023760297964435458,0.224505261178127,13.0,11.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,171,1583603667,4.885998964309692,0.05324287960329203,0.605426404527844,0.16486600153425454,0.9507263199101371,0.8348100595824254,0.3970087690524371,0.15099277878957199,0.01788651879083622,0.2281294714720289,9.0,15.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,172,1817088328,5.352999687194824,0.061705818950477546,0.7658493287715977,0.18842324792172035,0.9383806726099105,0.8245032521532876,0.4755358089907524,0.22510619198841872,0.028436032265653114,0.22199358473668046,11.0,13.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,173,636195454,6.0009987354278564,0.08321229841947814,0.5346378544337308,0.13996982546374664,0.9716251925250471,0.8685293365169481,0.7152685533595508,0.24577665859516387,0.033596662733590965,0.4358952320307958,17.0,7.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,174,1651229434,5.545999050140381,0.07159544884810232,0.6288891333834783,0.18670900304846338,0.9647837174594386,0.8198173683801881,0.6362080469024698,0.2580562367656867,0.036773271871608865,0.3413785382651743,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,175,327179379,5.383509397506714,0.08362127991826185,0.6703324930465238,0.12680979571390755,0.9497377007244171,0.8773245380885446,0.5550549439613824,0.24549765384147787,0.022614888448632547,0.286942401671272,13.0,11.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,176,1519505455,5.739998817443848,0.05880128759730757,0.7874817436290041,0.23842730687353966,0.9668132988335073,0.7650487882395797,0.6356656936090058,0.30721000717107216,0.04604121554132416,0.28241447089660965,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,177,1234317786,5.179001331329346,0.0648023699284838,0.7366573898598523,0.1467999755150712,0.9560831396048477,0.8586178933604418,0.47643075121085343,0.21755789563600075,0.02223564851645198,0.23663720705840086,11.0,13.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,178,786058360,5.531000137329102,0.05944585311781002,0.8129761320347686,0.1633087332263297,0.9655408382201752,0.839473537837194,0.5948636033278933,0.30325748509687034,0.030965800899571856,0.26064031733145115,14.0,10.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,179,1453403955,5.410998821258545,0.05249393749890961,0.7375007016520644,0.17871678613333342,0.9683961518064579,0.8214925440687384,0.5563689555363535,0.25251511440829616,0.029965145455080788,0.2738886956729765,13.0,11.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,180,234651280,6.284998893737793,0.06856566741952048,0.6122963185475019,0.10205171940706473,0.9746622044524436,0.8984479783261551,0.7551057493329119,0.3012542680872065,0.0252944285839388,0.42855705266176647,18.0,6.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,181,1632142476,5.166000604629517,0.06814976088485768,0.8006543295064786,0.17934626349450283,0.9459365422950365,0.8224381923921856,0.4765959334368406,0.2369280371124879,0.025068094858440623,0.2145998014659121,11.0,13.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,182,313015576,5.7829999923706055,0.05804987310070116,0.7598419880771726,0.16927190292213012,0.9732179350487287,0.8361567512010387,0.6360883622453216,0.30700270191672224,0.033370986086741494,0.295714674241858,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,183,1088640974,6.141792297363281,0.08421560060656125,0.7020718773642091,0.1852719690930639,0.9756291946423193,0.8221813093434295,0.7553897541724882,0.33095313447275104,0.044774212016506186,0.37966240768323106,18.0,6.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,184,258196338,5.251999378204346,0.06967129672711835,0.7790462097990434,0.2063438319477093,0.9220147726379863,0.7959485072540162,0.434885287744503,0.20820256801681858,0.025312413879143066,0.20137030584854154,10.0,14.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,185,1781718382,4.84699821472168,0.08379211578994888,0.7657222313591054,0.14628048479560943,0.9429701587427585,0.8569365812664573,0.35712149631422085,0.1629853689067108,0.014109970906645238,0.18002615650086487,8.0,16.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,186,870762199,5.449000358581543,0.0613424354932438,0.5414886136047351,0.10650171622868938,0.9671914758827943,0.8935194632193182,0.5561893635648645,0.19949535018813846,0.01839889994080133,0.33829511343592455,13.0,11.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,187,1029268266,5.7179999351501465,0.07462585697401335,0.537400634865577,0.12124406651877594,0.9736532656269393,0.8800447644063359,0.6373136517943078,0.2256761209779395,0.024379211636923727,0.38725831917944453,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,188,1469565666,6.108997583389282,0.06804561079957028,0.6312565797413339,0.11310577878638069,0.9665075372309637,0.8907921299286812,0.6738744271516935,0.27924319151273674,0.02524622638891204,0.3693850092500448,16.0,8.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,189,2021830119,6.361001491546631,0.08306941339128252,0.7324757911056059,0.17143793284400716,0.9730914762642471,0.8301106055388762,0.7950137176789203,0.36190475683212514,0.046975845063261516,0.3861331157835333,19.0,5.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,190,862791230,6.218000411987305,0.05449814021555976,0.6706887684077257,0.14780235615392295,0.9676954963346227,0.8560943013202404,0.7134950717409423,0.30805460833539206,0.035304147107513395,0.3701363162980369,17.0,7.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,191,825253156,5.766793251037598,0.07689704006453528,0.717305241526611,0.163555616945155,0.9725993907187943,0.840362817621973,0.6348778598036602,0.29131931911368997,0.031936550134833014,0.31162199055513723,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,192,680539154,5.10979437828064,0.07661261102339728,0.6886233933490844,0.1493434019492933,0.9299169840914449,0.8529163688320517,0.3567356641662791,0.15230324666767506,0.015419886669785809,0.1890125308288183,8.0,16.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,193,1599219939,5.56433367729187,0.07398874668781392,0.7786019465547214,0.1922622619621378,0.9692808051206476,0.8166536033625756,0.5967065625582697,0.2825388099082208,0.03655033586874972,0.27761741678129925,14.0,10.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,194,1689340886,4.430758953094482,0.08326091545981101,0.7607313155285708,0.2302935766522286,0.9121460605307312,0.7698437501026814,0.35584918827421114,0.1603461550166536,0.02078780002910738,0.17471523322845012,8.0,16.0
