Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,15,284694112,6.175090551376343,0.2746601110642543,0.7089664638438741,0.24387794731181392,0.4870080270623909,0.5453895716214786,0.5122412466076721,0.0,0.0,0.5122412466076721,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,16,1485092390,6.366021156311035,0.24965081598264569,0.5933867641806173,0.156187608716373,0.5279342737733292,0.658625149033148,0.5503724417238938,0.0,0.0,0.5503724417238938,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,17,964264879,6.2540788650512695,0.1742555544652847,0.569708358431931,0.12492566982009223,0.5664846207517606,0.6948402003620708,0.595140455406246,0.0,0.0,0.595140455406246,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,18,2071076345,5.981021165847778,0.28461623310158357,0.4431437572206407,0.06280010105096621,0.510858179646402,0.7960591792299317,0.5339889097655233,0.0,0.0,0.5339889097655233,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,19,1274968857,6.069089412689209,0.2478482638219496,0.881600897440944,0.12709349395577565,0.5052280583193917,0.46068335230690566,0.5264494834915666,0.0,0.0,0.5264494834915666,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,20,822550227,6.69802188873291,0.18391223393789222,0.6859596917723586,0.12183307306814221,0.5745772302405757,0.6431204578434668,0.5987090455255275,0.0,0.0,0.5987090455255275,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,21,829848767,6.3870813846588135,0.3158773969974763,0.7316703689732967,0.14284369244210113,0.422355236768657,0.4634055770848285,0.4440465299311042,0.0,0.0,0.4440465299311042,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,22,1206534333,6.406022548675537,0.15775437213320873,0.7650541818142038,0.10094920405155033,0.587966772719369,0.5687603042633886,0.6119013412440418,0.0,0.0,0.6119013412440418,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,23,391541795,7.038093566894531,0.35432092847625385,0.7662272382158747,0.2988317477956774,0.372510820524041,0.39989516888156096,0.39717954884992407,0.0,0.0,0.39717954884992407,34.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,24,745022002,6.297021150588989,0.2567586906060252,0.6061877185849315,0.13000597832826433,0.44554775493608983,0.6692983861217711,0.4671944925391074,0.0,0.0,0.4671944925391074,34.0,0.0
