Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,25,1455834841,4.797055959701538,0.07868537237813794,0.883078522758053,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,26,1785736058,5.062609672546387,0.24661622565040026,0.5976014178036406,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,27,1170374427,4.656432151794434,0.09352263503922806,0.8258915511863845,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,28,1493653684,4.779607057571411,0.08063801016374247,0.8579226551957612,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,29,1466704085,4.562676668167114,0.10251427374306096,0.8236217170214145,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,30,258864802,4.078128337860107,0.06478344960912943,0.9999030229400644,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,31,1650233440,4.796944856643677,0.08365367678470167,0.8246699359425723,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,32,1950053854,4.625065803527832,0.11714089455264672,0.7858051477427266,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,33,231562851,4.171974420547485,0.0664954378588917,0.9312204772133361,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,34,511233635,4.875070571899414,0.13906930709381013,0.675120143276171,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,35,699550030,4.7189342975616455,0.05543975385607085,0.9553837371058362,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,36,864944866,5.078481674194336,0.06802656374482932,0.930192659306995,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,37,2087744588,5.187411308288574,0.10350605289633663,0.8099878904409782,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,38,668178838,4.796944618225098,0.10987742839522091,0.8354836500669723,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,39,1978367492,4.765809774398804,0.07088077566629866,0.8946285430003778,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,40,9155489,4.828195333480835,0.08646643425655291,0.8536875794840462,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,41,1104341091,4.828311204910278,0.12743117660880238,0.7275735843735786,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,42,591449774,4.90632176399231,0.06644857454111053,0.862859808582747,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,43,511055152,4.90643835067749,0.177512260703644,0.6920792319585736,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,44,1509200690,4.546940326690674,0.06055137635816122,0.943651407189732,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,45,236539590,4.687683582305908,0.08107148940134704,0.9457229033469743,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,46,1265300326,4.781320571899414,0.060019527340236765,0.9519660828242786,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,47,1493969396,4.90643835067749,0.06674131176133981,0.9639738099070392,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,48,1490049239,4.828195333480835,0.07849034222882623,0.8862815901538934,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,49,1031018765,5.031440734863281,0.10308022119570731,0.8228977296706976,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,50,1011506854,4.484439373016357,0.11578295751492043,0.7808564089522999,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,51,1712498177,4.843936920166016,0.0879138673257363,0.8575245564940284,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,52,1640771411,4.578191518783569,0.07741721104626098,0.9612790057480933,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,53,1226839433,4.984564304351807,0.2853334511271152,0.5524035250338885,24.0,0.0
