Scenarios,sensitivity,specificity,rapid test coverage,if M is available for 1st-Tx,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,False,95,45822376,4.87517786026001,0.07553300675706162,0.769658284958162,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,96,605342979,4.610862970352173,0.1280487417696435,0.6828963047381932,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,97,1859839831,4.79705023765564,0.06988759644713455,0.8507068508677678,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,98,368909202,5.017126798629761,0.12187667145777749,0.7174650262404753,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,99,187122678,4.406412601470947,0.05612305908345529,0.9998975703955091,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,100,673532682,4.360853910446167,0.07971680887659979,0.985662768686884,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,101,87373479,4.890803813934326,0.2051913518946104,0.5741555938432833,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,102,1598551130,4.892122507095337,0.1387993829125747,0.7371179163364149,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,103,1033708839,4.328284502029419,0.058494419173571795,0.9990676573328076,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,104,1460959226,4.8921215534210205,0.0569604278600136,0.9416349549868774,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,105,1497107255,4.906430244445801,0.1012200918604139,0.7954460025624146,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,106,751489193,5.110879182815552,0.11488347661906823,0.7755683544347752,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,107,192348207,5.078308343887329,0.08507503549067226,0.8512265932234933,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,108,888645632,4.907748699188232,0.1898884720160564,0.6287719437715291,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,109,595513091,4.7658021450042725,0.08542432677210399,0.8141244609197402,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,110,998074438,4.704616546630859,0.13932469592451233,0.6548021431817247,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,111,91474274,4.609541893005371,0.1018295506887681,0.8192850503277204,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,112,427490248,4.9233717918396,0.1457683030244464,0.6428472090761096,20.0,0.0
