ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
55,889914664,7.395029067993164,0.08110114835987746,0.503524703154795,0.20939621104534337,0.8813534711664914,0.7978583112566278,0.9048223504716626,0.29363565512342943,0.07242730800599283,0.5387593873422402,24.0,0.0
56,1494169291,7.935031414031982,0.08472988430393605,0.7296992649993963,0.1044409781280663,0.8742159487163446,0.8959053918492432,0.8943945083633262,0.49602407294133427,0.0339358830827489,0.364434552339243,24.0,0.0
57,333409380,7.564030170440674,0.0926466387007134,0.6541546277886904,0.12064820815550112,0.8492035038631112,0.8794465396212527,0.8793174838141898,0.43583982978655655,0.03980161341611198,0.40367604061152107,24.0,0.0
58,1611304888,7.233027219772339,0.07908573940390996,0.4970082273242199,0.09228763568004443,0.8439610005886553,0.9116130016980992,0.8663030587186753,0.32722900030551416,0.030251919930199603,0.5088221384829617,24.0,0.0
59,179896050,7.86803126335144,0.12114612390591713,0.5132153017204361,0.07610954007209594,0.7273310964174771,0.9271395082111289,0.7611595806861601,0.3477062265644436,0.026403418600518,0.3870499355211987,24.0,0.0
60,819442457,7.1010260581970215,0.099684272605085,0.6136066099370999,0.11418470358016561,0.8235642227691347,0.886520765823124,0.8560466629418019,0.4095929166472865,0.03771331100076323,0.4087404352937521,24.0,0.0
61,922351132,6.683024883270264,0.0650113676275349,0.7815560286699279,0.14894002110278168,0.9708418863946894,0.8554423800606357,0.9805486184383939,0.510280914484254,0.04816883979401245,0.4220988641601274,24.0,0.0
62,1103622201,6.915027618408203,0.10363980941866391,0.48975707138249297,0.07539681755830925,0.7530962191582559,0.9279665520670158,0.7887874411520073,0.33291180192542447,0.02556594186880071,0.43030969735778213,24.0,0.0
63,1680835334,7.14102578163147,0.10286235868523148,0.6416874100383115,0.13396092938230386,0.8882995590793757,0.8771437118879766,0.9162044170117493,0.4146717832607393,0.04815701046372812,0.45337562328728204,24.0,0.0
64,703685765,7.188028812408447,0.09427305621651685,0.4578211946998666,0.11513471411283474,0.7892752979161816,0.8879256174758418,0.8219581435105486,0.292479480631042,0.038629151585690094,0.49084951129381665,24.0,0.0
65,471558427,7.045119285583496,0.11848299114863181,0.546593690249465,0.16626255836751797,0.7671174528510848,0.8336794361054846,0.8048474815131625,0.34780512689186643,0.055890306358327105,0.4011520482629692,24.0,0.0
66,2061141639,6.928027629852295,0.10692454488122947,0.6791858743714378,0.12088208537495931,0.8529854750825108,0.880298184049245,0.8827895634567849,0.46304072667504187,0.038684627644758086,0.3810642091369849,24.0,0.0
67,1600341612,6.803027629852295,0.09412298620474621,0.46089111150210904,0.10205400547914867,0.9032394430467384,0.8989969154916331,0.9264933832634423,0.294586653333225,0.03356107909794473,0.5983456508322723,24.0,0.0
68,799577490,7.090028285980225,0.1974951391178308,0.4272914836653518,0.11475971505857208,0.6650189437136623,0.8866641227899014,0.7011094350240478,0.2720496154061841,0.0387365832809906,0.39032323633687327,24.0,0.0
69,892925292,6.860026836395264,0.09819715147430783,0.5669957079102761,0.13429590245212533,0.9192200729805852,0.8695927982620879,0.9349980778528514,0.3570534702123136,0.0450846641988157,0.5328599434417223,24.0,0.0
70,1023191363,7.02512001991272,0.08690878660558081,0.5526018771108562,0.1276556842597329,0.8692745963780496,0.8763638773094707,0.8953708198327626,0.35695021860737036,0.04428947065308013,0.49413113057231195,24.0,0.0
71,1959497292,6.881027460098267,0.1412701786000257,0.36395719572128227,0.08284478403733118,0.7044105793686712,0.9202377645968488,0.7321265390692256,0.23092565958975267,0.027830446686706756,0.47337043279276647,24.0,0.0
