Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,36,1623720875,4.451388597488403,0.04998018764631672,0.7375231714548192,0.16143914308213328,0.948040056401356,0.3965077247322451,0.0,0.0,0.3965077247322451,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,37,822005099,4.4533398151397705,0.0755921754662186,0.6718967392357674,0.13301258737246296,0.9677012862642952,0.4964357328841599,0.0,0.0,0.4964357328841599,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,38,1169621962,4.43939208984375,0.06746929031222249,0.8183567955208617,0.174909060857181,0.9710476565306948,0.6299029996193034,0.0,0.0,0.6299029996193034,18.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,39,1315541580,4.29708194732666,0.0830324250274799,0.7046894554902926,0.17301021453281878,0.9461328147410303,0.2974426708045985,0.0,0.0,0.2974426708045985,8.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,40,1872156770,4.402142286300659,0.07740400355678695,0.7624074786511558,0.18792181391835414,0.9645422697038202,0.4637917687955484,0.0,0.0,0.4637917687955484,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,41,1117348063,4.3127076625823975,0.0541947351669188,0.7687969669104344,0.1965345750748445,0.9459813845970371,0.36364651328610653,0.0,0.0,0.36364651328610653,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,42,1785843434,4.293391227722168,0.08065859553840703,0.691577196369062,0.1856278507430508,0.9379956344063067,0.329718924957504,0.0,0.0,0.329718924957504,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,43,1971002345,4.390838384628296,0.0629633026912415,0.8940262462670484,0.1744201933247104,0.9484290481959677,0.49596385867312626,0.0,0.0,0.49596385867312626,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,44,1963233104,4.435652732849121,0.07779002278441739,0.8162283262290466,0.17744675431710683,0.957417617082861,0.4621061447092262,0.0,0.0,0.4621061447092262,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,45,45295357,4.390836477279663,0.06379441664627698,0.6875778404776453,0.17232529683799952,0.9388313009029435,0.3965215975986656,0.0,0.0,0.3965215975986656,11.0,18.0
