Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,22,1206534333,6.65700888633728,0.07030386191422475,0.5908302088041772,0.08377974607907072,0.9683000053671187,0.9169176916061454,0.9761788220914484,0.5230006558552767,0.03551587916485487,0.41766228707131686,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,23,391541795,6.85800838470459,0.2082357801947727,0.392544094715087,0.1174519013999566,0.6548175954725334,0.8826934223441437,0.6935944828737418,0.328712482231083,0.053259350472400595,0.311622650170258,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,24,745022002,7.1521406173706055,0.17204483151562933,0.5750216440376439,0.14978958925541783,0.6930938698447174,0.8548343407707303,0.7232423790367535,0.4960691361222004,0.06930221649831304,0.15787102641624012,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,25,1949339909,7.1280083656311035,0.07168478699366673,0.6129183401079833,0.13090578627686172,0.8991077304369568,0.8753208089801288,0.9217169260058017,0.5374519582873095,0.05869664806001135,0.32556831965848104,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,26,525868732,7.177006721496582,0.1115072851089619,0.6819992970030235,0.14013336445650285,0.8886485099811001,0.8635498760630794,0.9087147671340072,0.5871089764071091,0.06244088417217003,0.25916490655472835,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,27,2102773806,6.931008338928223,0.1348872712068016,0.589602899182899,0.098840453951357,0.8203789539265319,0.9046404840439223,0.8465930886847959,0.5097969495556637,0.04493198883007202,0.2918641502990601,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,28,66118438,7.031007766723633,0.13196428560508733,0.625559486202851,0.10265974100362969,0.8084403114552586,0.9013278921017935,0.837353552991484,0.5641308044328315,0.045595660943604704,0.22762708761504793,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,29,1111406759,6.784007549285889,0.1285606184979307,0.4415370203825582,0.11162588717360201,0.8535785928242009,0.8895789309423372,0.8827079990688428,0.3717583599702624,0.04787102522710895,0.46307861387147126,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,30,1568317111,7.002005577087402,0.1681262877924978,0.42249483553010114,0.08670099085157021,0.761069154444245,0.9184381827292571,0.7910642861105319,0.3667489502209824,0.04058229630237339,0.38373303958717614,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,31,1805557375,6.950008392333984,0.14034371013376082,0.6455569834264897,0.10187965328752342,0.8242303491141927,0.9010306280240252,0.8540367206307492,0.5766161131629888,0.04712347198333813,0.23029713548442224,24.0,0.0
