ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
60,1041880507,7.4701783657073975,0.05934884594947421,0.9162623981030054,22.0,2.0
61,1776145500,5.969306707382202,0.05647345391513394,0.5164090232765446,12.0,12.0
62,313735750,6.626418590545654,0.0671290984045141,0.7547701587971047,18.0,6.0
63,424076738,7.26619553565979,0.05937329269303827,0.9998132233392877,24.0,0.0
64,706973201,6.9237871170043945,0.060543045421411056,0.6345194644255461,15.0,9.0
65,391356322,6.781325817108154,0.060448925244449676,0.6760224888421824,16.0,8.0
66,1592087331,8.829569578170776,0.0645592893092247,0.9967668900354246,24.0,0.0
67,1527510874,7.04695463180542,0.07403802338813369,0.5957554247962475,14.0,10.0
68,441846862,8.220187902450562,0.06038327343644221,0.8343235454075149,20.0,4.0
69,1181023661,7.203206300735474,0.07292175556146684,0.7538315714470856,18.0,6.0
70,392437986,7.2045509815216064,0.060750439703316485,0.795218740460968,19.0,5.0
71,442463148,8.046965599060059,0.05661532960707366,0.9990167602076057,24.0,0.0
72,1235262303,7.485804319381714,0.06313506459263751,0.8747713470877599,21.0,3.0
73,2089075418,7.7969629764556885,0.061669980875895834,0.9537995597898055,23.0,1.0
74,1181940678,8.735818862915039,0.06936170743915601,0.9976026670857556,24.0,0.0
75,18479805,7.937589406967163,0.06244775880167458,0.99846702658078,24.0,0.0
76,36293875,7.079549789428711,0.05151205818562198,0.6350143926337178,15.0,9.0
77,1646873834,8.687597513198853,0.06021702234119108,0.9552018482377254,23.0,1.0
78,1756250673,7.142049551010132,0.0826958032655832,0.9999950033467951,24.0,0.0
79,2127537053,6.203194618225098,0.0792659423140184,0.5559626124471796,13.0,11.0
80,1527938215,7.0014214515686035,0.057547939846751765,0.7549096051921387,18.0,6.0
81,1987036835,7.4219582080841064,0.06400282992836294,0.7557898627569668,18.0,6.0
82,742635166,5.813908338546753,0.05961849778683421,0.4351106619309853,10.0,14.0
83,428387606,7.640711069107056,0.05887211494562806,0.9150783520555944,22.0,2.0
84,1057701318,7.392052888870239,0.06494931959520137,0.7952270141358724,19.0,5.0
85,620684410,6.8125762939453125,0.07408204806935943,0.7141106637934175,17.0,7.0
86,169862576,7.12642502784729,0.05955603948849631,0.7551876472921951,18.0,6.0
87,636653741,7.671961784362793,0.07859506891313695,0.9559159567703417,23.0,1.0
88,1037358284,7.892058372497559,0.06270181046069215,0.9975122794337571,24.0,0.0
89,1365877958,7.093829393386841,0.07013493814891197,0.8360228819814189,20.0,4.0
90,1847268245,6.126413822174072,0.070121021600147,0.5971169229176101,14.0,10.0
91,1787134341,6.656324863433838,0.067171701751324,0.7149182772201201,17.0,7.0
92,518286560,7.938935279846191,0.08167725641677272,0.9962881328919307,24.0,0.0
93,647752748,7.406333923339844,0.06746893488761653,0.8344883464901623,20.0,4.0
94,2044735716,6.298290729522705,0.06378560486123812,0.5561463312317483,13.0,11.0
95,1417899697,7.843838214874268,0.0563402469554312,0.834388432136718,20.0,4.0
96,96328185,7.095174789428711,0.0692434732724422,0.8754427590103775,21.0,3.0
97,846962187,8.218843698501587,0.054525142180780986,0.9545702583375687,23.0,1.0
98,971748365,6.688920259475708,0.07164165748950674,0.7566846547411317,18.0,6.0
99,993246198,8.04696536064148,0.05429001695863615,0.9990387789983173,24.0,0.0
100,1709232599,7.642056465148926,0.07232401903942721,0.9995134941618342,24.0,0.0
101,1145660267,8.640722036361694,0.06687803120547212,0.9946779859564862,24.0,0.0
102,2080398871,8.00143551826477,0.07362845640799574,0.9139215301940069,22.0,2.0
103,921555830,6.718826055526733,0.07962036108279875,0.7960914270172119,19.0,5.0
104,1696311714,7.063924551010132,0.08037586624113184,0.7147688623639797,17.0,7.0
105,1847092057,7.968839645385742,0.05831024658024243,0.9996315520167274,24.0,0.0
106,1449189605,7.235801696777344,0.07205360000964028,0.6752884186071348,16.0,8.0
107,1195091225,6.437572479248047,0.0675697358938374,0.5551187438029335,13.0,11.0
108,1483988216,8.892070055007935,0.06239874710773338,0.9955602628688831,24.0,0.0
109,45140219,7.078204393386841,0.0759401044518136,0.7939789252486031,19.0,5.0
110,1251823149,7.767056941986084,0.0551753037958961,0.9546249937327616,23.0,1.0
111,501616922,7.640711307525635,0.057061034109501314,0.8730126604787184,21.0,3.0
112,618662601,8.079561233520508,0.06313954721432333,0.999951389714099,24.0,0.0
113,1318768269,7.968840837478638,0.05828789681436995,0.9996394229660329,24.0,0.0
114,539278167,8.001434564590454,0.06647906087752893,0.9943723713710537,24.0,0.0
115,1546661699,7.265706539154053,0.06632216012988491,0.7564362444672984,18.0,6.0
116,869525086,6.251415491104126,0.05752387284687904,0.5174080698194308,12.0,12.0
117,1127389417,8.031340599060059,0.06246602706223507,0.9949604840908165,24.0,0.0
118,208660370,7.438928842544556,0.059535664681390606,0.9992586649205001,24.0,0.0
119,1945037326,6.531323432922363,0.07168333231714612,0.716655046259257,17.0,7.0
120,420514926,6.751417398452759,0.06868390093711162,0.6363786201641188,15.0,9.0
121,1988717831,6.859452486038208,0.07960524739681597,0.7151094213209694,17.0,7.0
122,1265045594,8.063934803009033,0.0629175364959598,0.9537857578313366,23.0,1.0
123,557528785,7.468835353851318,0.06619100376848974,0.9557822772699075,23.0,1.0
124,61738016,8.298311948776245,0.06288788242991115,0.9975606125361199,24.0,0.0
125,1304696688,6.843828439712524,0.062153729009395205,0.8727480272676778,21.0,3.0
126,1196383116,6.4857916831970215,0.06329819411838022,0.676683237089174,16.0,8.0
127,2119065329,6.953203439712524,0.0749268983681472,0.6348618407323863,15.0,9.0
128,11993418,5.296935796737671,0.05362578567462999,0.5170648747364045,12.0,12.0
129,1598551130,4.406299114227295,0.07952825459141272,0.7930592005677916,19.0,5.0
130,899771096,5.671939849853516,0.06416336837470654,0.8764832115992717,21.0,3.0
131,1505973153,3.9063031673431396,0.08149945920855528,0.7152793616835837,17.0,7.0
132,491601191,5.875067472457886,0.06817246304639758,0.9990336570694522,24.0,0.0
133,1928384915,3.4844226837158203,0.05734567587707566,0.7548995065821105,18.0,6.0
134,1799331687,5.250059127807617,0.07686946861431203,0.39737406573657985,9.0,15.0
135,15524053,4.625051975250244,0.05399896366887836,0.9977881049501078,24.0,0.0
136,751489193,4.859430551528931,0.06864504831745476,0.7165715158240614,17.0,7.0
137,156987350,3.359412670135498,0.06517787359314274,0.6369972819097316,15.0,9.0
138,627893408,5.906317710876465,0.05889076023215112,0.8749170189533302,21.0,3.0
139,1207594076,3.7344167232513428,0.05593028487954765,0.63671822539962,15.0,9.0
140,1408238763,5.125058889389038,0.0676153449806252,0.996072921235705,24.0,0.0
141,856879794,4.015670537948608,0.06284965796397957,0.7937005940325941,19.0,5.0
142,1813805924,4.734429121017456,0.06335739328883357,0.7158054957084584,17.0,7.0
143,368909202,3.921919107437134,0.06379985693522092,0.5964341788559357,14.0,10.0
144,1497107255,5.375061511993408,0.06918132179520177,0.9933239793397175,24.0,0.0
145,1859839831,3.921919107437134,0.057661210370721284,0.8340116931221105,20.0,4.0
146,888645632,4.859430551528931,0.06225774708744562,0.755776319469799,18.0,6.0
147,87373479,3.4531631469726562,0.06607973806615879,0.47510751377415267,11.0,13.0
148,569170968,5.15630841255188,0.05640650248991034,0.9968382190406625,24.0,0.0
149,1724266722,4.375049352645874,0.07924241566383074,0.9983825681477723,24.0,0.0
150,605342979,4.296924114227295,0.05545405977756254,0.6359924711728497,15.0,9.0
151,1613654456,4.21879768371582,0.06303810198527013,0.9997628388325114,24.0,0.0
152,1460959226,5.921942949295044,0.056818118737723466,0.9980290020394372,24.0,0.0
153,1679190915,3.7344164848327637,0.07328916114154557,0.7150097256642712,17.0,7.0
154,1341721941,4.921931743621826,0.06347531789124422,0.9157944501769874,22.0,2.0
155,192331256,4.1719231605529785,0.06773140067111522,0.9994989226647071,24.0,0.0
156,1228175278,4.796929359436035,0.06371287823206881,0.8322958890773492,20.0,4.0
157,28791503,3.2031610012054443,0.05301648579433198,0.5163101429055793,12.0,12.0
158,1457430367,4.84380578994751,0.07959533807127164,0.8723429036119671,21.0,3.0
159,2132410421,3.7344167232513428,0.06834860611840417,0.8375591003144761,20.0,4.0
